Sr. No.,Title,Author,Time Posted,Author of Reply,Time of Reply,Kudos,Replies,Views,Issued Solved
1,Where are my Inspiron Laptop manuals?,DELL-Chris M,09:53 AM,None,None,6,0,2560,No
2,Where are my Inspiron Laptop drivers?,DELL-Chris M,09:50 AM,None,None,3,0,2289,No
3,New Inspiron Laptop Usage and Troubleshooting Guides (3/2/18),DELL-Chris M,10:28 AM,None,None,4,0,3775,No
4,Dell 7577 DISCHARGING WHILE PLUGGED-IN,Canerrozann,03:26 PM,Auz,06:51 AM,4,17,3224,No
5,Recovery drive,ritkit03,02:46 PM,Saltgrass,06:32 AM,0,3,53,No
6,"Inspiron 15-5579, upgrade ram and HDD",krgman101,10:35 AM,krgman101,06:30 AM,0,2,48,No
7,My Inspiron 7000 Ryzen 7 run always at the lowest frequency,RickyXDs,02:28 AM,JOcean,06:04 AM,0,1,18,No
8,Dell Inspiron 1501 - BOOT ERROR,GarethS10,05:34 AM,JOcean,05:38 AM,0,1,11,No
9,Lose thread screw,ViNooooo,08:07 AM,ViNooooo,05:34 AM,0,2,29,No
10,Dell Inspiron 1501 - NOT BOOTING,GarethS10,05:32 AM,None,None,0,0,7,No
11,Dell G3 makes noises,ice20011,09:23 PM,JOcean,04:44 AM,0,1,34,No
12,Dell laptop inspiron won't start after showing Dell Logo.,Aapai7,12:25 AM,JOcean,04:33 AM,0,1,21,No
13,Inspiron / other laptops Warranty,-Stallion-,02:19 AM,JOcean,04:19 AM,0,1,24,No
14,Dell Inspiron 15 5000 series (5575) Black screen at random,Rakya,03:59 AM,JOcean,04:17 AM,0,1,28,No
15,Does this computer Support Active Pen?inspiron 15 5000 i5579,Andrews31,09:45 PM,ejn63,03:17 AM,0,1,18,No
16,Laptop for repair,Avinash333,09:55 PM,ejn63,03:15 AM,0,1,30,No
17,Dell G5 15 5587 fan speeds,ID0647,06:58 PM,MPL2018,03:09 AM,1,1,363,No
18,Spots light on screen,annyka,06:34 PM,annyka,11:05 PM,0,3,90,No
19,Dell Viet Nam delay in support!,Nnthanh,06:46 PM,Nnthanh,09:25 PM,0,2,95,No
20,Specific brand of Headset that you are using everyday.,Me-Ann,07:59 PM,None,None,0,0,29,No
21,My laptop is connected to wifi but no internet.,Ybie,12:47 PM,JOcean,07:42 PM,0,2,46,No
